field_96303_A,A,a
field_96304_B,B,a
$VALUES,C,a
BLACK,a,a
DARK_BLUE,b,a
DARK_GREEN,c,a
DARK_AQUA,d,a
DARK_RED,e,a
DARK_PURPLE,f,a
GOLD,g,a
GRAY,h,a
DARK_GRAY,i,a
BLUE,j,a
GREEN,k,a
AQUA,l,a
RED,m,a
LIGHT_PURPLE,n,a
YELLOW,o,a
WHITE,p,a
OBFUSCATED,q,a
BOLD,r,a
STRIKETHROUGH,s,a
UNDERLINE,t,a
ITALIC,u,a
RESET,v,a
field_96321_w,w,a
field_96331_x,x,a
field_96330_y,y,a
field_96329_z,z,a
field_75226_a,a,aaa
field_75244_a,a,aab
field_75155_e,a,aad
field_75154_f,f,aad
field_70466_a,a,aae
field_70464_b,b,aae
field_70465_c,c,aae
field_75162_e,a,aaf
field_75160_f,f,aaf
field_75161_g,g,aaf
field_75164_h,h,aaf
field_75165_i,i,aaf
field_75163_j,j,aaf
field_75168_e,a,aag
field_75166_f,f,aag
field_75167_g,g,aag
field_75172_h,h,aag
field_75173_i,i,aag
field_75170_j,j,aag
field_75171_k,k,aag
field_75169_l,l,aag
field_70484_a,a,aah
field_75227_a,a,aai
field_75158_e,a,aaj
field_75156_f,f,aaj
field_75157_g,g,aaj
field_75159_h,h,aaj
field_75229_a,a,aak
field_75228_b,b,aak
field_94538_a,a,aal
field_111243_a,a,aam
field_111242_f,f,aam
field_111239_a,a,aan
field_111241_a,a,aao
field_111240_b,b,aao
field_75181_e,a,aap
field_75179_f,f,aap
field_75180_g,g,aap
field_82862_h,h,aap
field_75236_a,a,aaq
field_75235_b,b,aaq
field_70476_a,a,aas
field_70474_b,b,aas
field_70475_c,c,aas
field_70472_d,d,aas
field_70473_e,e,aas
field_75178_e,a,aat
field_75176_f,f,aat
field_75177_g,g,aat
field_75233_a,a,aau
field_75232_b,b,aau
field_75231_g,c,aau
field_75234_h,d,aau
field_70488_a,a,aav
field_70467_a,a,aaw
field_75239_a,a,aax
field_75238_b,b,aax
field_75237_g,c,aax
field_75225_a,a,aay
field_75224_c,f,aay
field_75222_d,g,aay
field_75223_e,h,aay
field_75221_f,i,aay
field_75182_e,a,aaz
field_94603_a,a,abb
field_77881_a,b,abb
field_77879_b,c,abb
field_77880_c,d,abb
field_77882_bY,m,abb
field_94606_cu,n,abb
field_96605_cw,o,abb
field_77878_bZ,p,abb
field_94605_cw,q,abb
field_94604_cx,r,abb
CLOTH,a,abd
CHAIN,b,abd
IRON,c,abd
GOLD,d,abd
DIAMOND,e,abd
field_78048_f,f,abd
field_78049_g,g,abd
field_78055_h,h,abd
$VALUES,i,abd
field_150950_b,b,abe
field_150917_c,c,abf
field_150939_a,a,abh
field_150938_b,b,abh
field_150935_a,a,abi
field_94601_a,a,abm
field_94600_b,b,abm
field_77876_a,a,abo
field_111220_a,a,abq
field_150944_b,b,abr
field_150945_c,c,abr
field_78032_a,a,abt
field_78030_b,b,abt
field_78031_c,c,abt
field_78028_d,d,abt
field_78029_e,e,abt
field_78026_f,f,abt
field_78027_g,g,abt
field_78039_h,h,abt
field_78040_i,i,abt
field_78037_j,j,abt
field_78038_k,k,abt
field_78035_l,l,abt
